ativos
BTC-USD
ETH-USD
SOL-USD
BNB-USD
XRP-USD
ADA-USD
DOGE-USD
AVAX-USD
DOT-USD
LINK-USD
AAPL
TSLA
NVDA
MSFT
AMZN
GOOGL
META
EURUSD=X
GBPUSD=X
USDJPY=X
PETR4.SA
